code,system
26258,gprdproduct
25678,gprdproduct
38551,gprdproduct
39203,gprdproduct
73525,gprdproduct
68389,gprdproduct
73673,gprdproduct
58607,gprdproduct
73460,gprdproduct
70744,gprdproduct
68214,gprdproduct
73808,gprdproduct
68589,gprdproduct
43270,gprdproduct
68636,gprdproduct
11990,gprdproduct
73303,gprdproduct
71890,gprdproduct
34135,gprdproduct
34323,gprdproduct
73285,gprdproduct
60286,gprdproduct
55739,gprdproduct
48149,gprdproduct
53867,gprdproduct
33087,gprdproduct
23,gprdproduct
71198,gprdproduct
55711,gprdproduct
55270,gprdproduct
34598,gprdproduct
52442,gprdproduct
73892,gprdproduct
52221,gprdproduct
72695,gprdproduct
51527,gprdproduct
71012,gprdproduct
34004,gprdproduct
34917,gprdproduct
72052,gprdproduct
72046,gprdproduct
50970,gprdproduct
57457,gprdproduct
34504,gprdproduct
60074,gprdproduct
65694,gprdproduct
65923,gprdproduct
72001,gprdproduct
39598,gprdproduct
68203,gprdproduct
62144,gprdproduct
62265,gprdproduct
62824,gprdproduct
7048,gprdproduct
53478,gprdproduct
49738,gprdproduct
72107,gprdproduct
60968,gprdproduct
51135,gprdproduct
54442,gprdproduct
74021,gprdproduct
58051,gprdproduct
31146,gprdproduct
63307,gprdproduct
44250,gprdproduct
735,gprdproduct
46989,gprdproduct
53774,gprdproduct
16213,gprdproduct
2928,gprdproduct
45581,gprdproduct
7815,gprdproduct
51080,gprdproduct
3252,gprdproduct
70477,gprdproduct
47939,gprdproduct
64939,gprdproduct
54898,gprdproduct
74734,gprdproduct
34836,gprdproduct
31077,gprdproduct
50821,gprdproduct
33674,gprdproduct
93,gprdproduct
34020,gprdproduct
34697,gprdproduct
62605,gprdproduct
63045,gprdproduct
34742,gprdproduct
66136,gprdproduct
39729,gprdproduct
7166,gprdproduct
7610,gprdproduct
52634,gprdproduct
16044,gprdproduct
49502,gprdproduct
50570,gprdproduct
59620,gprdproduct
56965,gprdproduct
58865,gprdproduct
40007,gprdproduct
40110,gprdproduct
69221,gprdproduct
39988,gprdproduct
40233,gprdproduct
64743,gprdproduct
63929,gprdproduct
59385,gprdproduct
60497,gprdproduct
69370,gprdproduct
65083,gprdproduct
66008,gprdproduct
70463,gprdproduct
73254,gprdproduct
73511,gprdproduct
73252,gprdproduct
20810,gprdproduct
65059,gprdproduct
60643,gprdproduct
57147,gprdproduct
39560,gprdproduct
61043,gprdproduct
61559,gprdproduct
11737,gprdproduct
11601,gprdproduct
11604,gprdproduct
7375,gprdproduct
11717,gprdproduct
11609,gprdproduct
11610,gprdproduct
11760,gprdproduct
50682,gprdproduct
54150,gprdproduct
66854,gprdproduct
38355,gprdproduct
43684,gprdproduct
38400,gprdproduct
43619,gprdproduct
6855,gprdproduct
17580,gprdproduct
14164,gprdproduct
7325,gprdproduct
52449,gprdproduct
52445,gprdproduct
54891,gprdproduct
54973,gprdproduct
18220,gprdproduct
30316,gprdproduct
37874,gprdproduct
37902,gprdproduct
42161,gprdproduct
27501,gprdproduct
66855,gprdproduct
65344,gprdproduct
65057,gprdproduct
65066,gprdproduct
63031,gprdproduct
60012,gprdproduct
